user_id,X_train_rows,X_test_rows,train_accuracy,test_accuracy
cAs84AMuiSsgzlWv3JP1uQ,116,30,0.655172413793,0.4
orxwdyuvc5jxZBypYpWVDg,216,54,0.574074074074,0.444444444444
_LsbT_uW0UE6rhsWiAIrsg,111,28,0.702702702703,0.5
6xrk6A61OWwOtmQAErZTvA,123,31,0.617886178862,0.387096774194
5zbaSr7qSPwb0E_Bzy64rw,124,31,0.612903225806,0.58064516129
k10hFpAJJk4gGxEqPbhg8g,111,28,0.648648648649,0.5
03vp3tenQ0aQOr0AE5j8Uw,100,26,0.71,0.346153846154
nMHu8rkh1wkKn5Md0MzNHA,140,36,0.542857142857,0.361111111111
do-fO-EruYVP_FQPMNWmZg,240,60,0.625,0.583333333333
oC0kwGvgaAeT3ZIxdxTcJA,88,23,0.625,0.565217391304
dqmXlUQyDh6d5U2_Zjb-Iw,125,32,0.632,0.53125
EKwGhgLrM18ErVKKeYE2UA,88,22,0.693181818182,0.409090909091
04xW5mhSBaCzpjbcf2VSZg,87,22,0.563218390805,0.272727272727
e-GOQDdx_pPSi_dHJ87oKQ,87,22,0.64367816092,0.409090909091
uBp2Jmip2qXQ0iWHUDY9sQ,103,26,0.679611650485,0.423076923077
k4-6lakq7t3kCgbvPxcuvg,109,28,0.651376146789,0.464285714286
4D4UzEOu-QG4-jkyfynhPQ,129,33,0.658914728682,0.363636363636
A6bPFcUjuuayRBoyybedDQ,109,28,0.56880733945,0.464285714286
8JC-Yb3UDUv2FUl5ym1nVg,202,51,0.628712871287,0.509803921569
AF3tp0Z5r-ep0TsOaakEfg,84,22,0.47619047619,0.5
eiA073MhHpCdwBq8u_luZA,85,22,0.529411764706,0.5
HR_Lxh2ycv0t745Ohiziew,112,29,0.6875,0.758620689655
4LKM29aUmkqBmiucJecCSg,114,29,0.640350877193,0.310344827586
ZC49A1K-if7KP8VJXoqELQ,130,33,0.623076923077,0.333333333333
qXMObUokAEAkgUqD7Oc9Dw,164,42,0.55487804878,0.357142857143
nP_vZUqkoajeBC4qTV0Mlg,117,30,0.581196581197,0.5
kWkgwRxqWD-h260dMTkHUA,198,50,0.565656565657,0.5
UsULgP4bKA8RMzs8dQzcsA,136,35,0.573529411765,0.228571428571
LYWMD0VIterbtPt-iUESOQ,82,21,0.69512195122,0.47619047619
lS1yBzrxGoYY-k2auRMAMA,92,23,0.673913043478,0.347826086957
9OZH1Ecw-qUkCW5MS0NefA,240,61,0.666666666667,0.475409836066
kJyR4gT1pfCcNjEY9-YMoQ,177,45,0.593220338983,0.4
1R6wDvXIzmofopYllK_fpQ,83,21,0.542168674699,0.238095238095
bhZ13wN_5lQrKX278AP_aw,160,40,0.5875,0.625
sS2sSWqZMnQMRoWx-Mdzgg,118,30,0.635593220339,0.366666666667
fRbqoHAkgC5MeW3x15mezA,147,37,0.544217687075,0.513513513514
BT3AQK9b5oIAdVve3_Sh1Q,94,24,0.68085106383,0.375
tZs84cKAUSOtP_nAiSdreQ,186,47,0.677419354839,0.617021276596
0FtlTCPyKB4rjuM7mK02Kw,116,30,0.629310344828,0.466666666667
-4ld1qpaBNLocSBe85jWnw,110,28,0.654545454545,0.428571428571
GoDjpEPTyUQoQVRwPljIgw,131,33,0.702290076336,0.424242424242
aj1atE6H4Jf9mfsHvWhn2Q,117,30,0.675213675214,0.433333333333
hDlSSyDreM9xY4yQWPm54w,110,28,0.5,0.392857142857
JkMOQaMjlBHMqp6gj-hL3w,108,27,0.685185185185,0.37037037037
fwEPqYiyZCaB7QKY6a7h5g,144,36,0.638888888889,0.638888888889
AJoyva4SnxZGDon3xK9GZg,93,24,0.645161290323,0.333333333333
